origin_apk	original_path	target_path	density	purpose	source_sha256	target_sha256	byte_status
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_39.png	res/drawable-xxhdpi/face_successed_39.png	drawable-xxhdpi	faceid_frames	0255a1777289c95d7e4f0c9a5493e04d20ceb10b0feeb41f58eb4207200065c6	0255a1777289c95d7e4f0c9a5493e04d20ceb10b0feeb41f58eb4207200065c6	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_40.png	res/drawable-xxhdpi/face_successed_40.png	drawable-xxhdpi	faceid_frames	c75d18ba32e248698dc504396f4cb93d6e5bf53ec47be8f2e0115f1e083e996b	c75d18ba32e248698dc504396f4cb93d6e5bf53ec47be8f2e0115f1e083e996b	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/keyguard_lock_pattern_view_background.png	res/drawable-xxhdpi/keyguard_lock_pattern_view_background.png	drawable-xxhdpi	pattern_renderer	6c6f06776458c705b57c3bc34668222a44848d822d339e07dc46d33c88cde914	6c6f06776458c705b57c3bc34668222a44848d822d339e07dc46d33c88cde914	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/keyguard_lock_pattern_view_circle_right.png	res/drawable-xxhdpi/keyguard_lock_pattern_view_circle_right.png	drawable-xxhdpi	pattern_renderer	3b4528af68b5d618b3d18ba0ec7f8537cbd388a118a1af3778c18b8b791bfdcb	3b4528af68b5d618b3d18ba0ec7f8537cbd388a118a1af3778c18b8b791bfdcb	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/keyguard_lock_pattern_view_circle_wrong.png	res/drawable-xxhdpi/keyguard_lock_pattern_view_circle_wrong.png	drawable-xxhdpi	pattern_renderer	c0fffd1bbfede0c82458da5f208ab2910a5242d2a01bbb068b83f21e21bd52b4	c0fffd1bbfede0c82458da5f208ab2910a5242d2a01bbb068b83f21e21bd52b4	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/keyguard_sim_pass_confirm_button.png	res/drawable-xxhdpi/keyguard_sim_pass_confirm_button.png	drawable-xxhdpi	sim_confirm	83c650d8597c09aa9815f575ea5fefb9edd9a27f58a0377144ce7628a4b65f69	83c650d8597c09aa9815f575ea5fefb9edd9a27f58a0377144ce7628a4b65f69	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/keyguard_sim_pass_confirm_button_disable.png	res/drawable-xxhdpi/keyguard_sim_pass_confirm_button_disable.png	drawable-xxhdpi	sim_confirm	9bfb09b6ed20a4b7d11945d6c6d0f4f1649f5e28018d0a778a8843c341f9895d	9bfb09b6ed20a4b7d11945d6c6d0f4f1649f5e28018d0a778a8843c341f9895d	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/keyguard_sim_pass_confirm_button_down.png	res/drawable-xxhdpi/keyguard_sim_pass_confirm_button_down.png	drawable-xxhdpi	sim_confirm	4d28603e2f362004bbb8252395d9dc40e8bf2430c1a91017bfa31df4fb1d94f4	4d28603e2f362004bbb8252395d9dc40e8bf2430c1a91017bfa31df4fb1d94f4	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/no0.png	res/drawable-xxhdpi/no0.png	drawable-xxhdpi	recorder_clock_digits	def7bf2c298b7b6fa8900c4a49d00e8f78f661f279c390ab7f22a4d51fc741df	def7bf2c298b7b6fa8900c4a49d00e8f78f661f279c390ab7f22a4d51fc741df	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/no1.png	res/drawable-xxhdpi/no1.png	drawable-xxhdpi	recorder_clock_digits	a87b68608bb136d675149005a0d5513e999cbe5a5618f14f2bd8d8dffd6ee4c7	a87b68608bb136d675149005a0d5513e999cbe5a5618f14f2bd8d8dffd6ee4c7	exact
